id,Class
1954,C
1956,C
1957,N
1958,O
1963,N
1964,N
1966,C
1967,E
1970,C
1971,E
1974,O
1975,C
1976,A
1981,N
1984,A
1986,N
1987,C
1992,N
1993,N
1994,N
1996,E
1997,C
1998,E
1999,E
2000,O
2001,C
2003,A
2005,C
2006,O
2007,O
2008,C
2009,C
2011,O
2012,N
2013,N
2016,C
2017,A
2018,C
2019,E
2021,C
2024,E
2025,C
2027,E
2030,N
2031,N
2032,N
2035,E
2036,A
2037,A
2039,C
2040,C
2041,C
2043,C
2044,N
2045,N
2047,N
2050,N
2052,C
2053,A
2054,N
2055,E
2057,C
2058,C
2060,C
2061,E
2062,N
2064,N
2065,C
2066,E
2067,N
2069,C
2070,C
2071,C
2072,C
2075,E
2076,N
2077,N
2078,O
2080,N
2081,C
2082,C
2083,O
2085,N
2087,E
2088,C
2089,E
2091,C
2092,E
2094,C
2095,N
2096,A
2099,N
2100,A
2102,O
2103,C
2107,E
2108,E
2109,C
2110,N
2111,C
2112,C
2114,C
2116,E
2117,C
2118,O
2119,C
2120,C
2121,C
2122,N
2123,E
2124,N
2126,N
2127,C
2128,C
2129,N
2130,N
2131,C
2132,E
2134,O
2135,C
2136,N
2137,C
2139,N
2143,E
2144,C
2145,N
2148,C
2149,N
2151,C
2153,C
2154,N
2155,C
2156,N
2159,N
2160,E
2162,N
2163,A
2164,N
2165,N
2167,E
2168,C
2169,C
2170,C
2172,O
2174,C
2175,C
2176,O
2177,C
2178,C
2179,E
2180,A
2181,N
2182,C
2184,E
2190,C
2192,N
2193,E
2195,C
2197,N
2198,C
2199,O
2200,A
2202,C
2203,E
2205,E
2206,C
2207,N
2208,N
2211,C
2215,C
2216,O
2217,E
2219,C
2220,A
2222,N
2223,E
2224,N
2225,E
2226,C
2228,N
2229,C
2231,C
2232,E
2234,C
2236,E
2237,N
2243,O
2244,N
2245,N
2246,O
2247,C
2248,O
2249,N
2250,E
2251,E
2252,N
2253,O
2254,C
2256,E
2257,C
2260,E
2261,E
2264,C
2267,O
2270,N
2271,N
2273,N
2276,E
2277,C
2279,E
2282,C
2284,C
2285,E
2286,C
2288,A
2289,C
2290,N
2291,N
2293,N
2295,N
2296,E
2298,N
2299,E
2302,C
2307,N
2308,N
2309,A
2310,C
2312,E
2314,E
2315,O
2317,C
2320,E
2323,O
2324,E
2325,E
2327,C
2328,N
2329,N
2332,N
2333,O
2334,E
2336,A
2339,A
2340,N
2341,N
2342,E
2344,E
2346,N
2347,E
2351,N
2352,C
2353,E
2354,N
2355,A
2358,C
2361,A
2362,A
2363,E
2364,C
2365,E
2366,C
2367,O
2368,C
2369,E
2373,C
2376,C
2377,C
2379,O
2380,O
2382,C
2383,C
2385,C
2386,E
2387,N
2389,A
2390,N
2392,C
2394,E
2396,N
2398,C
2402,A
2403,C
2406,C
2407,C
2408,E
2409,N
2410,A
2412,C
2414,N
2416,A
2421,O
2422,C
2424,C
2426,E
2428,N
2430,N
2431,E
2432,A
2435,N
2436,C
2437,N
2438,C
2439,N
2440,C
2441,C
2444,C
2448,N
2449,C
2450,C
2451,A
2452,C
2453,A
2456,E
2457,C
2459,N
2461,O
2462,C
2463,C
2464,N
2465,E
2466,E
2467,N
2468,E
2469,C
2471,E
2476,E
2477,A
2478,N
2479,A
2483,E
2484,N
2485,N
2486,A
2487,A
2490,C
2491,E
2496,C
2497,N
2498,A
2499,C
2500,N
2501,O
2503,A
2504,N
2505,O
2506,N
2509,A
2511,N
2512,N
2513,C
2514,E
2515,C
2516,N
2519,A
2520,C
2523,N
2524,C
2525,E
2526,N
2527,C
2528,C
2529,C
2530,N
2534,C
2535,N
2539,E
2541,O
2542,C
2544,C
2545,A
2548,N
2551,E
2552,E
2553,A
2554,C
2555,C
2558,E
2559,C
2560,N
2561,O
2563,C
2564,E
2565,E
2566,N
2569,N
2571,C
2572,N
2575,N
2577,O
2578,N
2580,C
2585,N
2586,C
2587,C
2588,O
2589,E
2590,N
2592,N
2595,A
2596,N
2597,E
2598,N
2599,C
2602,N
2604,O
2609,C
2610,C
2612,C
2614,C
2615,E
2618,N
2619,N
2621,N
2622,N
2624,C
2627,E
2628,C
2630,C
2631,C
2635,N
2640,N
2642,C
2643,O
2644,O
2645,C
2646,E
2647,C
2648,C
2649,N
2652,C
2653,C
2654,E
2655,N
2656,E
2657,E
2658,A
2662,A
2665,O
2666,N
2668,C
2669,O
2670,C
2671,E
2672,N
2674,C
2675,C
2677,E
2680,E
2681,C
2682,N
2685,A
2686,C
2687,N
2688,C
2691,E
2695,E
2699,N
2701,N
2702,E
2703,C
2707,C
2709,A
2711,E
2713,A
2715,C
2716,N
2717,A
2718,C
2720,E
2722,C
2723,C
2726,C
2727,C
2731,O
2732,C
2734,N
2735,N
2736,N
2738,C
2739,A
2740,N
2741,N
2742,N
2743,E
2744,N
2745,C
2746,N
2749,N
2751,A
2752,E
2754,C
2755,C
2756,C
2758,C
2759,E
2761,C
2762,E
2763,N
2764,C
2765,C
2767,C
2769,N
2771,N
2772,C
2773,E
2774,N
2775,C
2776,E
2778,O
2783,A
2784,E
2785,N
2786,N
2788,O
2789,N
2790,C
2792,E
2793,N
2794,N
2796,E
2797,N
2798,C
2799,N
2800,C
2802,C
2803,C
2805,N
2807,E
2808,C
2810,C
2812,E
2814,E
2815,C
2818,N
2820,C
2823,C
2824,N
2826,N
2830,E
2831,C
2832,N
2833,O
2836,C
2838,E
2839,E
2841,E
2842,O
2843,E
2845,C
2846,O
2848,A
2851,C
2855,E
2857,C
2861,N
2862,E
2863,C
2865,O
2866,O
2869,N
2871,C
2872,N
2873,N
2874,E
2875,E
2877,E
2878,A
2879,C
2880,C
2881,E
2882,N
2884,C
2885,E
2888,O
2890,C
2891,N
2893,E
2896,O
2897,N
2899,O
2901,E
2902,N
2903,C
2904,C
2906,A
2908,C
2909,N
2910,O
2911,E
2912,A
2914,E
2916,E
2917,C
2919,E
2922,O
2924,C
2926,C
2933,N
2934,C
2937,O
2938,N
2939,N
2940,O
2941,C
2942,A
2943,C
2944,N
2945,C
2950,C
2951,N
2952,N
2953,E
2954,N
2956,N
2957,C
2958,O
2959,N
2962,A
2963,O
2965,C
2967,C
2971,C
2973,E
2974,C
2976,O
2977,O
2980,N
2982,A
2983,C
2984,E
2987,O
2988,N
2989,E
2990,N
2991,E
2993,E
2994,E
2995,E
2996,N
2997,N
2999,N
3000,C
3001,C
3003,C
3004,E
3005,C
3007,N
3011,N
3014,E
3016,N
3018,E
3020,A
3021,N
3022,C
3023,E
3024,C
3025,C
3029,E
3030,N
3031,N
3035,E
3036,O
3037,C
3038,E
3040,N
3041,A
3043,O
3047,O
3048,O
3049,O
3053,C
3054,C
3056,E
3057,C
3060,E
3062,E
3064,N
3066,E
3070,N
3071,C
3072,O
3075,O
3077,N
3082,E
3083,O
3085,N
3087,E
3088,A
3090,C
3091,O
3092,C
3093,N
3098,C
3101,C
3102,C
3103,E
3108,E
3110,C
3112,E
3113,C
3116,E
3119,N
3120,N
3122,C
3123,N
3126,E
3127,C
3128,N
3129,E
3134,C
3136,C
3137,N
3138,C
3141,N
3143,N
3144,E
3145,O
3147,O
3148,N
3149,E
3150,N
3151,C
3152,N
3156,N
3160,O
3161,N
3162,O
3164,A
3167,C
3168,O
3175,A
3176,N
3177,O
3178,C
3179,E
3180,C
3181,N
3182,C
3183,N
3184,A
3185,C
3186,C
3188,C
3189,C
3190,E
3191,E
3192,C
3194,N
3195,E
3197,C
3199,N
3200,O
3201,N
3204,O
3205,C
3208,N
3210,C
3211,O
3212,A
3216,E
3219,C
3220,C
3221,O
3222,E
3223,N
3224,O
3228,N
3229,N
3232,O
3236,O
3237,N
3238,E
3240,A
3241,C
3243,C
3244,C
3245,E
3247,E
3248,E
3251,N
3253,A
3254,O
3255,C
3256,N
3258,A
3259,E
3260,N
3261,O
3262,E
3263,E
3268,A
3269,E
3271,N
3272,O
3273,N
3276,N
3277,N
3280,N
3282,E
3283,N
3285,E
3286,C
3288,C
3290,E
3292,E
3293,E
3294,N
3298,N
3299,N
3300,C
3303,N
3304,N
3305,O
3308,A
3310,C
3311,A
3312,E
3313,N
3318,C
3319,C
3320,O
3322,C
3326,A
3327,N
3328,N
3329,E
3330,C
3332,C
3333,E
3334,E
3335,N
3337,N
3340,N
3341,A
3342,C
3343,N
3344,O
3347,E
3348,N
3350,N
3355,C
3356,E
3358,A
3359,N
3363,N
3364,E
3365,C
3367,E
3372,A
3377,N
3379,E
3380,E
3382,O
3383,N
3384,E
3387,E
3390,A
3392,N
3393,A
3394,C
3395,C
3397,E
3398,N
3400,A
3402,N
3404,C
3405,E
3406,A
3407,O
3408,C
3411,N
3412,N
3413,C
3415,N
3418,N
3421,E
3422,N
3423,A
3425,E
3429,N
3432,E
3433,C
3436,C
3437,E
3438,C
3442,A
3443,N
3444,N
3446,O
3448,C
3449,N
3450,N
3451,N
3452,E
3453,E
3454,E
3456,E
3457,A
3458,N
3462,E
3463,N
3464,C
3465,C
3466,E
3467,O
3468,C
3470,E
3472,N
3473,C
3475,N
3476,E
3477,N
3478,A
3479,E
3480,O
3482,A
3484,C
3485,O
3486,E
3487,C
3488,C
3489,A
3492,O
3493,O
3495,O
3496,E
3500,C
3501,A
3502,C
3504,N
3506,C
3508,C
3509,E
3512,E
3513,N
3514,N
3516,E
3517,C
3518,E
3519,E
3521,A
3524,A
3526,E
3530,O
3532,N
3533,E
3536,E
3537,O
3538,A
3540,C
3542,E
3543,N
3545,A
3546,A
3547,C
3549,E
3550,O
3556,C
3557,A
3559,C
3560,E
3561,N
3562,C
3563,N
3566,C
3567,C
3568,C
3569,N
3571,E
3572,C
3575,E
3576,N
3580,C
3581,E
3582,C
3583,N
3584,C
3585,N
3587,C
3588,N
3593,N
3594,C
3595,C
3597,C
3598,E
3599,E
3601,C
3602,N
3603,A
3606,N
3609,C
3610,N
3611,N
3612,E
3613,N
3614,N
3618,E
3619,C
3622,E
3625,C
3627,E
3631,N
3632,N
3634,N
3636,O
3637,N
3638,A
3639,O
3640,C
3642,E
3645,E
3646,E
3647,E
3648,E
3650,E
3653,C
3654,N
3656,C
3657,C
3658,C
3661,E
3663,E
3666,A
3670,O
3671,C
3672,N
3673,O
3675,C
3676,N
3681,N
3682,N
3683,N
3686,C
3687,C
3692,C
3694,N
3698,E
3699,E
3700,C
3703,N
3704,C
3705,N
3708,E
3709,O
3713,C
3715,E
3717,E
3718,C
3720,C
3723,E
3724,E
3725,A
3726,E
3727,O
3728,C
3729,C
3730,E
3731,N
3732,N
3733,N
3735,N
3736,E
3737,E
3738,O
3740,N
3743,C
3745,N
3748,E
3749,N
3751,C
3752,O
3753,N
3754,E
3755,E
3758,E
3759,C
3760,N
3762,E
3764,C
3766,C
3768,N
3769,E
3770,O
3773,N
3776,E
3778,N
3779,E
3780,N
3781,O
3783,C
3786,O
3788,C
3790,C
3791,N
3792,N
3793,E
3794,E
3796,C
3799,C
3804,O
3805,N
3807,N
3808,N
3809,C
3812,C
3813,A
3814,C
3816,A
3817,N
3818,N
3819,O
3820,N
3821,N
3822,N
3823,A
3826,C
3828,C
3831,N
3832,O
3833,C
3834,E
3835,C
3837,C
3838,C
3839,N
3842,A
3843,E
3844,O
3845,N
3847,E
3848,N
3849,O
3850,N
3851,C
3852,N
3853,E
3856,E
3857,C
3859,N
3860,N
3861,E
3862,O
3863,E
3864,N
3866,N
3867,E
3871,E
3873,N
3874,O
3875,N
3878,O
3879,A
3881,A
3883,C
3884,A
3889,O
3890,E
3891,C
3892,O
3894,C
3895,C
3896,C
3897,A
3898,E
3899,E
3900,N
3902,E
3903,N
3904,C
3907,O
3909,C
3910,C
3911,A
3912,O
3913,E
3915,E
3916,A
3918,N
3919,O
3920,E
3921,C
3922,E
3923,O
3924,C
3925,C
3926,C
3928,C
3930,E
3931,N
3933,E
3935,A
3936,C
3938,N
3941,E
3943,C
3944,N
3947,E
3948,N
3950,O
3952,O
3953,C
3954,C
3956,N
3957,C
3959,C
3960,E
3961,C
3962,E
3963,E
3965,N
3967,C
3968,C
3969,N
3970,C
3971,O
3972,E
3973,O
3974,A
3976,C
3977,N
3978,N
3979,E
3981,N
3982,E
3984,N
3986,N
3987,N
3989,N
3990,C
3991,A
3993,O
3994,O
3996,N
3997,N
3999,O
4000,E
4002,N
4003,E
4004,N
4005,E
4006,C
4007,E
4008,E
4009,N
4010,E
4011,N
4013,A
4014,N
4015,N
4016,N
4020,N
4021,E
4022,C
4024,N
4027,E
4028,N
4030,C
4032,C
4033,A
4034,N
4035,C
4037,N
4038,A
4039,E
4040,N
4042,N
4043,E
4044,N
4046,E
4047,N
4049,A
4050,N
4052,N
4054,N
4055,N
4057,N
4059,C
4060,O
4063,N
4065,C
4066,C
4067,C
4070,A
4073,N
4074,C
4075,E
4077,A
4078,C
4082,A
4083,C
4084,C
4085,C
4086,E
4087,N
4088,N
4089,C
4092,E
4095,C
4098,E
4099,C
4100,C
4101,C
4104,C
4106,A
4110,C
4111,E
4112,E
4113,E
4115,A
4116,E
4119,A
4120,C
4121,E
4123,N
4126,A
4127,O
4128,O
4130,C
4131,C
4133,E
4134,N
4138,C
4139,N
4141,N
4142,C
4143,C
4144,N
4146,C
4147,E
4148,C
4149,E
4150,N
4151,C
4152,C
4154,N
4155,C
4156,E
4158,O
4159,C
4161,O
4162,E
4163,N
4164,N
4165,N
4166,C
4167,C
4168,C
4169,N
4173,N
4174,C
4175,C
4178,N
4179,C
4181,N
4182,O
4184,E
4186,C
4188,N
4189,O
4190,E
4191,A
4192,N
4196,C
4198,C
4199,N
4200,O
4201,A
4202,O
4203,N
4208,E
4209,N
4210,C
4212,N
4213,A
4214,N
4215,O
4217,N
4219,O
4221,C
4222,E
4223,O
4224,C
4226,A
4227,E
4228,E
4231,C
4234,C
4235,E
4236,E
4237,N
4238,C
4240,N
4241,O
4242,N
4243,E
4245,E
4246,O
4247,N
4248,C
4249,C
4252,C
4253,O
4256,E
4257,C
4258,O
4260,C
4267,C
4269,N
4270,C
4272,N
4275,O
4276,E
4277,O
4278,A
4279,C
4282,O
4286,C
4289,E
4290,N
4291,E
4292,N
4294,N
4295,N
4296,O
4297,C
4298,N
4301,C
4304,C
4306,E
4308,E
4309,E
4310,O
4312,E
4313,A
4315,C
4316,O
4325,N
4326,O
4328,C
4329,N
4330,N
4335,N
4336,E
4337,E
4338,C
4340,C
4341,E
4342,N
4343,N
4345,C
4352,N
4354,C
4355,C
4356,N
4358,C
4359,O
4360,C
4362,E
4364,E
4365,C
4367,C
4370,O
4371,C
4372,N
4373,C
4374,A
4375,E
4376,E
4377,E
4380,A
4385,E
4388,A
4389,N
4390,C
4391,E
4392,N
4397,E
4398,C
4399,C
4400,E
4401,N
4404,O
4405,E
4407,N
4408,O
4409,C
4410,N
4411,O
4412,N
4413,E
4414,N
4416,N
4417,C
4419,N
4420,C
4421,C
4422,E
4423,N
4424,C
4425,N
4426,C
4430,C
4433,E
4434,C
4438,C
4439,E
4440,C
4441,N
4442,C
4443,C
4444,A
4448,C
4449,N
4450,N
4451,C
4452,N
4453,N
4454,E
4455,E
4456,O
4458,C
4459,E
4461,E
4464,C
4465,N
4466,A
4467,O
4468,O
4469,E
4470,N
4471,C
4474,C
4475,A
4476,N
4477,O
4478,O
4479,C
4480,C
4481,N
4483,C
4485,E
4487,C
4492,C
4493,C
4495,C
4496,C
4497,E
4499,N
4501,N
4503,N
4505,C
4506,C
4507,C
4508,C
4511,C
4512,C
4516,C
4517,A
4519,E
4522,E
4524,E
4526,A
4529,C
4530,A
4531,E
4534,E
4535,A
4538,N
4540,O
4542,A
4543,C
4544,E
4547,C
4548,C
4550,A
4551,N
4552,C
4557,A
4558,E
4559,E
4560,C
4561,N
4566,N
4567,N
4568,N
4571,N
4572,N
4573,N
4575,N
4576,A
4577,N
4579,N
4580,N
4582,N
4584,A
4586,E
4589,C
4590,N
4592,C
4595,C
4596,N
4597,C
4598,N
4599,A
4601,E
4607,N
4608,O
4609,N
4610,N
4612,E
4613,A
4614,N
4615,E
4616,N
4617,N
4620,A
4621,O
4624,A
4626,C
4627,E
4628,E
4629,C
4631,O
4632,N
4633,E
4634,A
4637,N
4638,A
4639,E
4640,E
4641,O
4644,A
4645,E
4646,C
4647,N
4648,N
4650,E
4651,C
4653,E
4656,C
4659,N
4661,N
4662,O
4664,C
4665,C
4666,A
4667,O
4671,N
4672,C
4673,N
4675,A
4676,N
4679,O
4680,A
4682,A
4684,N
4685,C
4686,E
4688,E
4689,N
4692,E
4693,A
4694,A
4699,C
4701,N
4702,C
4703,A
4704,O
4705,C
4706,E
4709,O
4711,A
4712,E
4713,E
4715,O
4717,C
4718,N
4719,C
4720,C
4721,E
4722,A
4725,N
4726,N
4728,O
4729,C
4732,C
4733,E
4735,N
4736,A
4737,E
4738,C
4739,E
4740,C
4741,E
4742,N
4743,C
4744,C
4747,E
4749,C
4751,N
4752,C
4754,C
4757,C
4758,O
4759,O
4761,C
4762,C
4763,A
4764,N
4765,E
4767,N
4768,E
4769,C
4770,O
4771,E
4775,C
4776,N
4777,C
4778,N
4779,C
4780,C
4782,E
4783,C
4784,A
4787,E
4788,C
4789,C
4790,N
4791,C
4792,E
4794,N
4796,N
4799,A
4805,C
4806,E
4810,C
4811,C
4813,C
4814,C
4816,C
4818,O
4819,E
4821,N
4823,N
4824,N
4825,C
4833,A
4835,C
4838,E
4840,C
4842,E
4844,A
4847,O
4848,N
4849,C
4852,O
4853,N
4855,C
4856,O
4857,E
4861,E
4864,A
4868,O
4869,E
